RespondentID,Q1-Location,Q2-Age,Q3-Gender,Q4-BikeOwner,Q5-StartedCycling,Q6-WhenStarted,Q8-SuperhighwayUsed,Q9-SuperhighwayFrequency,Q10-Width,Q10-Surface,Q10-Signs,Q10-Parking,Q11-SuperhighwayComments,Q12-SuperhighwayRespect,Q13-SuperhighwaySafety,Q14-SuperhighwaySuggestions,Q15-SuperhighwayReason,Q16-HireRegistration,Q17-HireRegistration,Q17-FindingStation,Q17-BikeAvailability,Q17-Unlocking,Q17-Bike,Q17-Returning,Q17-Payment,Q17-Value,Q18-HireComments,Q19-Frequency,Q20-Reason,Q20-ReasonOther,Q21-Duration,Q22-SupportCentre,Q23-Problem,Q24-SupportExperience,Q25-SupportComments,Q26-Improvements,Q27-Reason
1196767034,Westminster,30-39,Male,Yes,"No, I already cycled",Longer,,,,,,,,,,,Doesn't serve my area,Yes,good,good,good,bad,fair,good,good,good,I've seen old ladies REALLY struggling to get the bikes out of the dock once they've inserted their key - it simply must be made easier to detach the bikes,Several times a week,A combination of the above,"Usually to avoid taking bus or tube, but also instead of walking (quicker) and often to eliminate risk of theft of my own bike",Less than 30 mins,No,,,,Reallocation of bikes in the Pimlico area is poor - I often have to cycle around to up to 6 different stations to find a slot to return a bike,
1196759023,Harrow,50+,Male,Yes,"No, I already cycled",Longer,,,,,,,,,,,They aren't near here,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,An oversight - I should register
1196757852,Merton,30-39,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Only tried it once,bad,fair,fair,fair,"No changes to the road itself, so it tightens in places, as sharing with cars. And breaks up constantly. The Tooting area is as terrifying as ever.",No,No,Unbroken lanes of at least 1 metre width. ASLs that are respected. Clamp down on cars and motorbikes in ASLs. And conversely a crackdown on cyclists jumping red lights. I.E: Everyone follows the rules and is fair.,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,"I have my own bikes, and don't want to spend registration fee."
1196691925,,30-39,Male,Yes,"Yes, because of the Cycle Hire Scheme",,,,,,,,,,,,,Yes,very good,very good,very good,fair,bad,very good,very good,very good,"the gears on the bikes slip quite a bit but the system is genius idea, well done.",Several times a week,A combination of the above,bus and cycle,Less than 30 mins,No,,,,"bikes with more gears, more docking stations at waterloo. otherwise I think it's brilliant.",
1196270317,,40-49,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Only tried it once,fair,fair,fair,fair,Colour is awful its a real eyesore,No,No,Make them mandatory cycle lanes ie illegal to drive in like bus lanes,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,Public transport is cheaper I have a travelcard
1196250068,,50+,Male,Yes,"No, I already cycled",6 months ago,,,,,,,,,,,There are none in my area (I cycle from Harold Wood RM3 0XN to Ilford IG1 2PT) along the A118.,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I don't go into central London very often and there are no hire bikes in the outer London boroughs.
1196188131,,40-49,Male,Yes,"No, I already cycled",Longer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196187421,,40-49,Female,Yes,"No, I already cycled",1 year,Both,Once a week,very good,fair,good,fair,,Yes,Yes,,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I have my own bike
1196184638,Merton,30-39,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Several times a week,very good,good,fair,,,Yes,Yes,,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,have my own bike
1195882058,,18-29,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Occasionally,very bad,fair,fair,very bad,"It's not wide enough according to the national standard for ""cycling lanes""",No,No,,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,No need at the moment.
1195861961,,50+,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Once a fortnight,very good,very good,fair,fair,Cars still drive and park in them.,No,Yes,,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,Too complicated to set up. I tried to use a bike when i was in the West End but was defeated by all the complexities.
1195838533,Westminster,50+,Male,Yes,"Yes, because of the Cycle Hire Scheme",,,,,,,,,,,,The Superhighways run along the most polluted roads.  With cyclists breathing in several times more air pollution than drivers or walkers (because cyclists need to breathe more heavily) I consider it necessary to avoid the busy roads when cycling and find the quieter routes.  Why is a Superhighway planning for Brompton Road and not Rotten Row through Hyde Park?  Is it because TfL is being lazy and wants to control the route decisions themselves?,Yes,very good,good,fair,fair,good,fair,good,good,Too often the docking stations are empty when you want to pick up a bike and full when you want to drop it off.  At least 10% of bikes at a docking station seem not to work with the 'unlocking stick' ie there may be 3 bikes left but none can be unlocked!  Too few docking stations and too small in many places,Several times a week,A combination of the above,When I think it is the quickest means of travel (unless its raining or I'm in a suit),Less than 30 mins,Yes,Unlocking not working on severla bikes so none available.,Good,,,
1195818203,,30-39,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Several times a week,good,bad,fair,good,It is not a continuous blue line. Motorbikes use them & the ASL boxes and there is nothing to prevent cars from straying into the bike lane.,No,No,Get some cat eyes in the road to clearly mark the route. Also remove the parking spaces that are in the middle of the lanes and tell bus drivers to move out of them - do they even know what they are for?,,Yes,very good,very good,bad,very good,very good,very good,very good,very good,Need sign posts to direct to alternative docking stations. Very hard to find.,Several times a week,Instead of taking the Tube,,Less than 30 mins,No,,,,,
1195804660,Wandsworth,30-39,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Only tried it once,good,good,good,fair,,No,No,,,Yes,good,good,bad,good,good,good,bad,fair,,Occasionally,A combination of the above,"Walking, bus, tube",Less than 30 mins,No,,,,,
1195777047,tower hamlets,18-29,Male,Yes,"No, I already cycled",Longer,,,,,,,,,,,none on the routes ive taken,Yes,fair,good,good,,fair,good,bad,bad,think 'free for the first half hour' is a bit unreasonable - quite often journeys take just over 30 minutes so you end up paying a lot for less than 5 mins extra! other european cities (vienna for example) do not charge anything (not even an activation fee) for the first HOUR of use - this seems a lot more appropriate to me.,Once a fortnight,A combination of the above,"instead of tube/bus, instead of walking, instead of own bike",Less than 30 mins,Yes,"auto top up had not been activated once, the second time i was unaware of 5 minute gap between taking out bikes - got stuck down a road in the middle of the night trying to avoid the extra fee for my 35 minute journey by doing it in 2 journeys - with no idea when i'd next be able to get a bike out, which was a bit unnerving.",Very good,"very quick to talk to me, very quick to sort out the autotop up /activation problem. no complaints.",the cycle map on the barclays bikes website's routeplanner is awful - really have no idea why a google maps map wouldnt be more appropriate. its really annoying because the journey planner is obviously quite useful but the map is so bad that it negates any desire i had to use it. i end up planning my own journeys instead but with little knowledge of cycle paths this is difficult!,
1195770952,Hackney,30-39,Female,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Occasionally,good,good,fair,fair,,No,No,"They are all well and good until you come to a really dangerous part of the road for cyclists (e.g. near Stockwell tube) where you are left to try and bear right across 3 lanes of traffic.  So lane or no lane, cyclists are still exposed to extreme danger.",,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,Because I have my own bike.
1195767410,Walthamstow,18-29,Male,Yes,"No, I already cycled",Longer,,,,,,,,,,,It's not on my route,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I own my own bike
1195764180,Southwark,30-39,Male,Yes,"No, I already cycled",Longer,,,,,,,,,,,There isn't one between my usual cycling destinations.  Commercial Way to Old St are my main two.,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,"Because I have my own bike, and there is not a docking station for the Barclays bikes near enough to where I live to make their use practical to me. I may register in the future."
1195508911,,50+,Female,No,"No, I already cycled",Longer,,,,,,,,No,,I just want to say that(and this has nothing to doo with the new cycling scheme ) elderly people and pedestrians in general are really at risk because at Dalston JUnction and Dalston Lane junction cyclists are not obeying the traffic lights and it is impossjuble for us to cross at the green lights without taking a risk. I have seen some very near misses there. The police check now and again but once they are gone it all starts again.I THINK CYCLING IS GREAT AND i COMMEND IT BUIT IS THERE NO WAY THAT THEY CAN SENSITISED TO THE SAFETY OF PEDESTRIANS. tHEY ALSO USE THE PAVEMENTS ALL OVER DALSTON AND ONE IS NOT SAFE THERE EITHER. i REPEAT i HAVE NOTHING AGAINST CYCLISTS BUT HAVE SEEN SO MANY ELDERLY PEOPLE SCARED TO CROSS NBECAUSE THE BICYCLES ARE WHIZZING AROUND CORNERS AGAINST THE RED LIGHTS,,,,,,,,,,,,,,,,,,,,,
1194630457,Wandsworth,30-39,Male,Yes,"No, I already cycled",1 year,"Superhighway 7, Merton to the City via A24-A3",Several times a week,bad,good,good,good,"(1) When the red route is operational it's good but the rest of the time it's almost useless as it's full of parked cars. For that reason I find it is of little use for cycling home from work.    (2) When the blue lane is there it's great, but when the blue lane isn't there it's horrible - the section by Clapham South tube station and the South Circular is particularly bad.",No,No,"See answer to Q4. I feel safer on the parts with the blue lane, but on the parts without the blue lane it is scary. I use the old cycle route 3 for much of the way instead.",,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,Not got round to it yet
1193550051,Haringey,30-39,Male,Yes,"No, I already cycled",Longer,"Superhighway 3, Barking to Tower Gateway via the A13",Only tried it once,very good,fair,fair,bad,,No,No,,,Yes,fair,fair,very good,very good,very good,very good,good,bad,,Only tried it once,Instead of taking the Tube,,Less than 30 mins,Yes,Key not activated,Very poor,"Call centre was busy, they took my name and number to call me back but never bothered",Great but not much use as I live in Zone 2 - an extension would be great!,
1193241088,,30-39,Female,No,"Yes, because of the Cycle Hire Scheme",,,,,,,,,,,,live and work in the heart of London so haven't come across one.  However would definately use it if there was one!,Yes,very good,good,good,fair,very good,good,very good,very good,,Several times a week,Instead of taking the Tube,"Instead of taking the bus, Instead of walking but mainly the tube.  Shame on them for striking",Less than 30 mins,Yes,some cycle hire points weren't working properly,Good,,"-move the Account Log in button on the website on the Cycling home page.  have to find it in ""become a member""...a bit of an oxymoron really  -instead of an 0845 number, it should be 0207.  I'm hesitant to report a problem since I'm charged to call to rep",
1192708008,,30-39,Female,Yes,"No, I already cycled",Longer,Both,Occasionally,very good,good,good,fair,,Yes,No,,,Yes,very good,very good,very good,very good,fair,very bad,good,good,All stations in Soho and West End / Central London are full all day so finding a space to return the bike is a nightmare - sometimes I end up cycling around for 20min (and go over the 30min free limit) trying to find an empty space.  I guess at the moment people just use the bikes to travel from tube / train into town in the morning and then back in the evening.  I hope that casual use will even it out but at the moment using the bikes during the day is every unreliable as all docking stations are always full.,Occasionally,A combination of the above,"bus, tube. my own bike",Less than 30 mins,No,,,,Please open the scheme to casual use ASAP to improve the ciruclation of bikes - or add more emply stands.,
1192396627,,30-39,Male,No,"Yes, because of the Cycle Hire Scheme",,"Superhighway 7, Merton to the City via A24-A3",Occasionally,good,good,good,fair,,Yes,No,,,Yes,good,good,good,good,good,fair,good,good,,Once a fortnight,Instead of taking other London rail services,,Less than 30 mins,No,,,,,
1191544458,Barnet,18-29,Male,Yes,"No, I already cycled",1 year,,,,,,,,,,,No CS that is near me.,Yes,fair,good,very good,good,good,good,good,very good,"Link it to the Oyster card, please! There is no good reason why it cannot be done.",Occasionally,A combination of the above,"bus, tube, walking",Less than 30 mins,No,,,,,
1191225909,Camden,50+,Male,Yes,"No, I already cycled",Longer,,,,,,,,,,,They are not any which cover routes I regularly use.,Yes,bad,good,fair,good,good,good,good,very good,There is a lack of bikes and docking places at popular times in popular places.  The City is particularly underserved with docking stations.,Once a week,A combination of the above,,Less than 30 mins,Yes,Account not activated,Fair,I needed 3 separate calls to resolve my registration issues.,,
1191189950,Wandsworth,18-29,Female,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Once a fortnight,good,bad,fair,fair,The surface of the Superhighway on Clapham High Street becomes slippery when it it wet - it seems to be a different material to the rest of the Superhighway.  This is clearly dangerous and means I have to cycle further out into the traffic to avoid it.,No,Yes,"Great in principle, but the Superhighways don't actually solve any of the fundamental problems of cycling in London.  They are fine on long straight stretches of road where there were already bus lanes anyway.  At junctions they tend to become narrower and other road users don't respect them - e.g. at the junction at Clapham Common tube station.  Where attempts have been made to improve junction safety, the results are mixed.  The one at Stockwell is good at keeping cars away but is not designed for the volume of cyclists using it.",,Yes,good,good,fair,fair,fair,fair,fair,good,,Only tried it once,,,Less than 30 mins,Yes,I had additional journeys showing up on my account which I hadn't actuall made.,Fair,,,
1191132662,Lambeth,18-29,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Several times a week,fair,bad,good,fair,,No,No,"Measures to reduce the amount of traffic (particularly HGVs), road surface improvements and controls on road works would do far more to help cyclists that slopping more blue paint around.",,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I prefer to use my own bike.
1190504435,Lambeth,30-39,Female,Yes,"No, I already cycled",6 months ago,"Superhighway 7, Merton to the City via A24-A3",Several times a week,bad,fair,bad,fair,,Yes,Yes,Traffic generally respects the blue lanes except at junctions where traffic spills into them which means cyclists have to swerve or weave around cars.  The drainage needs to be improved - when it rains parts of the highway flood and cyclists are forced to move out into the traffic.  The surface is slightly slippy (especially when wet) for large stretches - can this be fixed?,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I use my own cycle.
1189902288,,18-29,Female,No,"Yes, because of both",Longer,"Superhighway 3, Barking to Tower Gateway via the A13",Occasionally,good,good,good,good,,Yes,Yes,,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I live in Battersea - near Battersea Square.  I would love to see a docking station near here - it is very quick over into Chelsea or to Waterloo or even Victoria -- and since it is a transportation black hole - it would be great.  Right now I walk 10 min to clapham junction to get on a train into town - and with the bikes - I could be there in the same time that it takes me to get to CLJ.
1189885352,,30-39,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Several times a week,good,bad,fair,good,"Blue paint does not shed rainwater well and is slippery compared with the paint used for buslanes.  I acknowledge the paint is newish but I fear it brings with it the same problem as red paint used for ""clearway"" markings does i.e. poor traction in the wet.  This needs attention.    However, the main, and positively dangerous ""advancements"" relate to the way superhighway 7 has been structured at the junction of the A3 and the A23, north-bound and south-bound.  The solution adopted is, in short, absolutely hopeless. I have ridden those junctions every workday for almost 5 years and the superhighway has made them much more dangerous for cyclists.    You should have routed all vehicles south-bound joining the A23 from the A3 down the buslane (they would filter into two lanes once they have got onto the A23), and put kerbstones inbetween the superhighway and the A3.      On the Northbound junction, the blue paint should as a matter of urgency be extended all the way from the traffic lights at Oval Station to the junction, and, much more importantly, the cycle highway should be kerbstoned on either side.  That would force motor vehicles to move early if they wished to filter left to join the A23.  What vehicles in fact do now is accelerate to speeds far in excess of 30mph and then filter left, cutting dangerously in front of cyclists who are northbound on the superhighway.  Accidents and near-misses are commonplace and I will be wholly unsurprised when yet another cycling fatality is announced, at that site.    You need to take on board quickly that kerbstoning works - see for example the junction of the A3 and the A203 at Stockwell - which (credit where it is due) now works very well indeed for cyclists.    There also need to be working speed cameras on that stretch of road.  Motor vehicles routinely drive at 40mph down that stretch of the A3 and 50mph is not uncommon.    I trust my comments are detailed enough for you to make sense of them  - I'd be grateful for a response to them - I repeat the situation is now worse for cyclists at those junctions than that which pertained prior to the changes.",No,No,Pls see detailed comments above.,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I own a bicycle so no need to.
1188699052,Barnet,30-39,Female,Yes,"Yes, because of the Cycle Hire Scheme",,,,,,,,,,,,Not in my area,Yes,fair,good,good,good,very good,good,fair,very good,,Once a fortnight,A combination of the above,"Instead of walking, tube, bus and sometimes just for fun",Less than 30 mins,No,,,,,
1188620604,wandsworth,40-49,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Several times a week,fair,very bad,,,The paint that is used on some parts seems more slippery when when the the regular road surface and takes longer to dry out.  This seems counterproductive and dangerous when it is raining.,No,No,introduce solid white lines,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I have a bike!
1188330040,harrow,30-39,Female,Yes,"No, I already cycled",6 months ago,,,,,,,,,,,don't live near one.,Yes,bad,very good,good,good,very good,very good,good,very good,"I found it hard to get the bikes out of the rack, as I have an injured arm, and they are hard to pull out,until I learnt that you just lift the back wheel and let it drop and it bounces the bike out. before that I had to give up taking the bike out and try other ones.",Once a fortnight,Instead of taking the Tube,,Less than 30 mins,No,,,,"more bikes, more stations (density and reach)",
1188277208,Lewisham,18-29,Male,Yes,"No, I already cycled",Longer,"Superhighway 3, Barking to Tower Gateway via the A13",Occasionally,bad,good,fair,fair,"unclear why CS3 didn't simply close Cable Street to motor vehicles -- can't see what the case for their continued presence is, given extensive network of alternative roads surrounding it.",No,Yes,"Q6: Yes, CS3 feels safer than, say, The Highway or Commercial Road.  But cable street and narrow street feel no safer now than they did before the road was painted.",,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,I own a better bike.
1187952187,,30-39,Male,Yes,"No, I already cycled",6 months ago,,,,,,,,,,,"didn't need to. the route i cycle to work is through central London and don't honestly know where this superhighway is. on the other hand i don't mind cycling in heavy traffic, i actually like it.","No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,"1- i have my own bike  2- its not very easy to have, you need to register i think them you get this key, already a hassle!  3- the bike dont look very quick or easy to ride, too heavy. hard to manoeuvre with  4- i live in zone two and far from the closest bike station, so wont be very useful to me. well it might if it was easier to buy. like from a tube station or something."
1187941583,RBKandC,50+,Male,No,"Yes, because of the Cycle Hire Scheme",,,,,,,,,,,,Nowhere near where I cycle,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,"I need a docking station near my home in Chelsea, which has been avoided by the scheme"
1187913360,,30-39,Female,Yes,"No, I already cycled",Longer,,,,,,,,,,,Not on my cycle routes (I cycle in the city centre or from the North to the centre),Yes,fair,good,very good,very good,good,fair,good,very good,"occasionally docking stations have been full, hence only fair on 'returning of bike'  registration via website was a little cumbersome, i.e. not 100% intuitive, but pretty good",Once a fortnight,A combination of the above,"Instead of my own bike, the tube or the bus, depending on weather, time of day and length of journey",Less than 30 mins,No,,,,"When reporting a fault, it's not clear whether the fault has been registered at the docking station  Availability of bikes and docks at surrounding stations is not available at the terminals (or not easy enough to find)",
1187370508,Haringey,50+,Female,Yes,"No, I already cycled",Longer,"Superhighway 3, Barking to Tower Gateway via the A13",Occasionally,very good,very good,very good,good,,Yes,Yes,,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,use my own cycle
1185695658,Wandsworth,30-39,Male,Yes,"No, I already cycled",Longer,"Superhighway 7, Merton to the City via A24-A3",Only tried it once,fair,good,good,good,"Lane is easy to follow but the fact that it is shared with a bus lane for a large portion of its length determs me from using it.  The buses stop frequently and are difficult to overtake (even when stationary due to the adjacent lane of traffic).  This shared use, and the business of the route it is located on, means that I don't use it out of choice.",Yes,No,My preference would be for the cycle highway to be separated from the traffic (rather than sharing with buses) but appreciate this is not always possible.,,"No (if no, go straight to question 12)",,,,,,,,,,,,,,,,,,,Cycling the whole distance to/ from my place of work is cheaper and quicker for my journey than taking public transport and then using one of the hire bikes.
